recorded_date,instance,objective,event_type,source_url
2015-01-05,X-n1001-k43,72719,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n289-k60,95151,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n327-k20,27546,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n336-k84,139172,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n344-k43,42092,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n429-k61,65483,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n449-k29,55355,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n586-k159,190491,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n599-k92,108736,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n613-k62,59584,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n685-k75,68415,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n701-k44,82254,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n716-k35,43517,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n783-k48,72715,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n801-k40,73564,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n819-k171,158558,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n837-k142,194187,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n876-k59,99653,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n895-k37,54071,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
2015-01-05,X-n916-k207,329752,objective_improvement,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/updates/?page=5
